name,style,code,"ORIGINAL 
PO #1 & #2","1st delivery (Barneys, NAP, Matches, Shopbop)",Second Delivery (balance from PO #1 & #2),MIAMI Delivery,Extra tolerance,SOPHIE COPY IF NOT ALREADY ORDERED,orderquantity,chilete,huanchao,huamachuco,limoncarlo1,limoncarlo2,magaly,paypay,milagro,progreso1,progreso2,otrosierra,palmeras,salitre1,salitre2,sanpedrodelloc,tembladera1,tembladera2,julcan
CEL01,Travesia sin paja,CEL01,7,,7,0,1,1,9,2.5,1.5,1.7,1.7,1.5,2.1,1.5,1.5,3.3,1.4,1.5,2.1,1.5,1.4,3.3,1.5,1.4,2.1
CEL02,Travesia sin paja,CEL02,29,,29,,1,,30,3.3,2.1,3.3,2.1,1.4,1.5,3.3,2.1,3.1,2.5,2.5,1.7,2.5,1.5,2.1,2.5,1.8,1.5
Jonas30,Curva (rocio),JOW01,81,35,46,5,3,,89,2.1,1.3,1.5,2.5,1.9,3.3,2.5,2.5,2.1,1.5,2.1,3.3,2.1,2.1,3.3,2.1,1.4,3.3
Jonas32,Curva (nancy),JOW02,30,,30,,2,,32,1.5,2.5,1.9,3.3,2.1,2.5,1.5,1,2.1,1.7,2.5,2.5,3.3,2.5,1.5,3.9,2.5,2.5
Jonas31,Curva (ledye),JOW03,39,,39,2,2,,43,1.7,3.3,1.7,2.5,1.5,1.9,1.1,1.9,2.5,2.5,1.5,1.9,2.5,1.7,1.9,2.1,1.9,1.9
Jonas35,Rayas Verticales,JOW04,36,,36,2,2,,40,1.3,1.9,2.5,2.1,1.9,1.2,2.1,1.7,2.1,1.7,2.1,1.9,2.3,2.1,1.4,1.9,1.4,1.2
Jonas37,Rayas Verticales,JOW06,52,5,47,2,2,,56,1.5,1.5,2.9,2.5,2.1,1.7,1.7,1,3.3,1.4,3.3,2.5,1.9,1.1,1.9,2.1,1.5,1.7
Jonas38,Rayas Verticales,JOW05,42,8,34,2,2,,46,3.3,1.3,2.1,1.7,1.4,1.5,1.9,1.5,1.9,3.1,2.5,2.1,3.5,2.5,1.2,3.5,2.5,1.5
Jonas29,NUEVO - plaid,JOW-07EX,47,40,7,2,2,,51,1.9,2.5,2.5,3.1,2.5,2.5,3.3,2.5,2.5,2.1,2,1.7,1.7,3.3,2.1,2.5,1.9,2.5
JONAS  42,? Royal blue/ white,JOW08,,,,8,,,8,2.1,3.3,2.4,2.5,2.1,2.1,1,2.1,3.1,2.5,1.7,3.3,1.9,1.7,1.9,1.7,1.4,2.1
